energy_kcal_value,energy_kj_value,carbohydrates_value,sugars_value,fat_value,saturated_fat_value,proteins_value,fiber_value,salt_value,sodium_value,nova_group,nutrition_score_fr,fruits_vegetables_nuts_estimate_from_ingredients_100g,product_code,product_name,brands,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
282.5,1189.0,4.5,0.2,25.5,14.5,7.0,2.5,0.03,0.012,3.0,13.0,0.0,3046920028721,Bitter Extra Kraftig,Lindt&Sprüngli,0.044444444444444446,High Calories,Low Sugar,No
122.0,1189.0,18.5,1.7,2.9,0.3,4.4,2.3,0.3825,0.153,4.0,1.0,1.39285714285714,5010003064744,Seed Sensations,Hovis,0.09189189189189188,Moderate Calories,Low Sugar,Yes
227.0,950.0,0.0,0.0,15.0,3.5,23.0,2.5,1.2,0.48,3.0,28.0,13.2325,3019081238643,Sardines Huile d'Olive Vierge Extra,Parmentier,0.0,High Calories,Low Sugar,No
42.0,1189.0,10.6,10.6,0.0,1.4,0.0,2.5,0.03,0.012,4.0,12.0,0.0,5449000000439,Coca-Cola,Coca-Cola,1.0,Low Calories,Moderate Sugar,Yes
900.0,1189.0,0.0,0.0,100.0,15.0,0.0,2.5,0.0,0.0,4.0,5.0,14.375,6111024001516,"Huile de table équilibrée riche en vitamines A,E,D3",Lesieur,0.0,High Calories,Low Sugar,Yes
548.0,2285.0,50.7,46.4,34.1,20.2,6.0,7.3,0.01,0.004,4.0,25.0,0.0,7613035040823,Nestlé Dessert,Nestlé,0.9151873767258382,High Calories,High Sugar,Yes
427.0,1771.0,60.0,15.3,17.5,8.5,6.6,1.2,0.23,0.092,4.0,18.0,0.0,6111259342828,Petit beurre,Bé,0.255,High Calories,High Sugar,Yes
0.0,1189.0,0.0,0.0,0.0,0.0,0.0,2.5,7.5,3.0,1.0,0.0,0.0,3257971309114,Eau minérale naturelle,Mont Roucous,0.0,Low Calories,Low Sugar,No
242.0,1189.0,15.1,4.1,6.2,1.4,5.7,2.5,0.3725,0.149,4.0,7.0,0.17415,7322540548563,jempo,Missing,0.0,High Calories,High Sugar,No
353.0,1485.0,55.0,11.0,11.0,4.0,8.6,3.5,0.00275,0.0011,4.0,6.0,2.32575757575758,3256540000698,Pains au lait x10,Pasquier,0.2,High Calories,Moderate Sugar,Yes
539.0,1189.0,57.2,56.3,30.9,10.6,6.3,3.0,0.107,0.0428,4.0,31.0,13.0,8000500179864,Nutella,"Ferrero,Nutella",0.9842657342657342,High Calories,High Sugar,Yes
539.0,1189.0,57.0,55.0,31.0,19.0,6.5,2.3,0.275,0.11,4.0,32.0,0.347222222222221,3045140105502,Chocolat au lait,Milka,0.9649122807017544,High Calories,High Sugar,Yes
102.0,435.0,23.2,22.8,0.1,0.1,1.2,2.5,1.8,0.72,3.0,13.0,60.9,50457250,Tomato Ketchup,Heinz,0.9827586206896552,Moderate Calories,High Sugar,No
158.7,660.5,7.07,1.94,11.19,0.71,7.44,2.5,6.54,2.616,4.0,21.0,0.0,6111184001203,Moutarde 10.50 g,Star,0.2743988684582744,Moderate Calories,Low Sugar,Yes
229.0,1189.0,42.0,4.4,2.2,0.8,7.8,2.6,0.1875,0.075,3.0,0.0,2.75,5020364010113,Bakery Co. 5 The Original Bagels,New York Bakery Co,0.10476190476190476,High Calories,Low Sugar,No
42.0,180.0,10.6,10.6,0.0,0.0,0.0,2.5,0.0,0.0,4.0,12.0,0.0,42105220,Coca Cola,Coca-Cola,1.0,Low Calories,Moderate Sugar,Yes
64.0,1189.0,5.4,5.4,2.1,1.4,4.7,2.5,0.6375,0.255,1.0,6.0,0.0,5036589252450,Yeo Valley Organic kefir natural fermented yogurt,Yeo Valley Organic,1.0,Low Calories,Moderate Sugar,No
141.0,577.0,9.1,9.1,0.5,0.1,2.7,45.3,0.23,0.092,4.0,0.0,63.0,3033710073467,RICORE Original,"Nestlé, Ricore",1.0,Moderate Calories,Moderate Sugar,Yes
336.0,1413.0,52.0,13.0,9.4,0.9,8.8,3.9,0.95,0.38,4.0,10.0,0.0,3284230006408,Brioche Tranchée Bio 400g,La Boulangère,0.25,High Calories,Moderate Sugar,Yes
64.0,270.0,7.7,0.8,2.6,0.0,2.5,0.0,0.0775,0.031,4.0,7.0,6.04166666666667,6111242103528,Croissance réduit en sucre,Jaouda,0.1038961038961039,Low Calories,Low Sugar,Yes
226.0,933.0,4.3,4.3,21.0,14.0,5.4,0.2,0.75,0.3,4.0,14.0,0.0,7622201693916,Philadelphia,Mondelez International,1.0,High Calories,Low Sugar,Yes
746.0,1189.0,1.0,1.0,82.0,56.0,0.1,2.5,0.0,0.0,4.0,20.0,0.0,6111242105331,Beurre Frais Pasteurisé,Jaouda,1.0,High Calories,Low Sugar,No
0.0,1189.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,1.0,0.0,0.0,6111035502941,Eau minérale naturelle gazeuse,les Eaux Minérales d’Oulmes,0.0,Low Calories,Low Sugar,No
11.5,99.0,0.8,0.4,0.0,0.0,0.1,5.0,0.01,0.004,1.0,0.0,47.5,3225350000501,BLE 70CL CITRON PULCO,"Orangina Schweppes France,Pulco,Schweppes International Limited",0.5,Low Calories,Low Sugar,No
102.0,435.0,23.2,22.8,0.1,0.1,1.2,2.5,1.8,0.72,3.0,13.0,61.8,87157215,Tomato Ketchup,Heinz,0.9827586206896552,Moderate Calories,High Sugar,No
57.0,1189.0,3.5,2.8,4.2,2.5,0.9,0.7,0.002,0.0008,4.0,21.0,0.0,40896243,Bio Chocolat Noir Cacao 70%,Fairglobe,0.7999999999999999,Low Calories,Low Sugar,Yes
102.0,435.0,23.2,22.8,0.1,1.4,1.2,2.5,1.8,0.72,3.0,7.0,58.4821428571429,50457243,Tomato Ketchup,Heinz,0.9827586206896552,Moderate Calories,High Sugar,No
